trial,agent.0.net.optim_spec.lr,final_return_ma,strength,max_strength,final_strength,sample_efficiency,training_efficiency,stability,consistency
5,0.05,197.2750015258789,175.41500091552734,178.13999938964844,178.13999938964844,2.813753008013009e-05,0.00015015571261756122,1.0,0.9378616432557363
6,0.1,185.04999923706055,163.19000625610352,178.13999938964844,160.13999938964844,2.718032646953361e-05,0.00014504526188829914,0.9388397495495155,0.683304665249158
4,0.01,167.57500076293945,145.71500396728516,178.13999938964844,178.13999938964844,2.04430161829805e-05,0.00010905317685683258,0.955335546284914,0.7870994807477574
3,0.005,142.42500114440918,120.56500244140625,178.13999938964844,178.13999938964844,1.874488543762709e-05,9.999392750614788e-05,0.7952028345316648,0.15898461882706594
2,0.001,48.35000038146973,26.489999294281006,95.13999938964844,67.63999938964844,1.5255727703333832e-05,8.137956046994077e-05,0.4669898897409439,-0.8650114979499999
1,0.001,39.84999942779541,17.989999294281006,63.38999938964844,38.63999938964844,1.0943109600702883e-05,5.833037539559882e-05,0.5303039476275444,-0.8541003565247145
0,0.0005,27.90000009536743,6.03999936580658,43.13999938964844,10.139999389648438,-1.9073859675700078e-05,-0.00010195728282269556,-0.21055632829666138,-2.6434296001337922
