epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.05,1.0,,,
189.0,39.0,1410.0,1872.0,10000.0,7.0921984,91.0,91.0,10.107485,0.05,0.05,,,
261.0,75.0,4330.0,3750.0,20000.0,4.6189375,200.0,145.5,0.3967628,0.05,0.05,,,
314.0,120.0,7196.0,5622.0,30000.0,4.168983,200.0,163.66667,0.36869103,0.05,0.05,,,
372.0,152.0,10089.0,7500.0,40000.0,3.964714,200.0,172.75,0.5433543,0.05,0.05,,,
422.0,152.0,12909.0,9372.0,50000.0,3.8732667,200.0,178.2,0.2257347,0.05,0.05,,,
476.0,21.0,15787.0,11250.0,60000.0,3.8005955,200.0,181.83333,267.13293,0.05,0.05,,,
545.0,69.0,18682.0,13122.0,70000.0,3.7469223,200.0,184.42857,1.1761292,0.05,0.05,,,
600.0,197.0,21624.0,15000.0,80000.0,3.699593,200.0,186.375,0.38224676,0.05,0.05,,,
652.0,148.0,24475.0,16872.0,90000.0,3.6772215,200.0,187.88889,0.3067306,0.05,0.05,,,
713.0,30.0,27324.0,18750.0,100000.0,3.6597862,200.0,189.1,186.86967,0.05,0.05,,,
