epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005,1.0,,,
359.0,13.0,1965.0,1872.0,10000.0,5.0890584,24.0,24.0,27.374111,0.005,0.05,,,
562.0,31.0,5950.0,3750.0,20000.0,3.3613446,55.0,39.5,1.4252721,0.005,0.05,,,
702.0,88.0,9916.0,5622.0,30000.0,3.0254135,200.0,93.0,0.48297805,0.005,0.05,,,
871.0,14.0,13867.0,7500.0,40000.0,2.884546,49.0,82.0,195.3252,0.005,0.05,,,
944.0,47.0,17811.0,9372.0,50000.0,2.8072538,200.0,105.6,478.88824,0.005,0.05,,,
1069.0,8.0,21775.0,11250.0,60000.0,2.7554536,17.0,90.833336,451.15213,0.005,0.05,,,
1157.0,168.0,25711.0,13122.0,70000.0,2.7225702,163.0,101.14286,0.24118622,0.005,0.05,,,
1269.0,17.0,29662.0,15000.0,80000.0,2.6970534,200.0,113.5,209.0423,0.005,0.05,,,
1371.0,12.0,33570.0,16872.0,90000.0,2.6809652,45.0,105.888885,1.0857261,0.005,0.05,,,
1463.0,2.0,37458.0,18750.0,100000.0,2.6696568,200.0,115.3,222.75864,0.005,0.05,,,
