epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
282.0,34.0,1407.0,1872.0,10000.0,7.1073203,46.0,46.0,35.283306,0.01,0.05,,,
412.0,126.0,4279.0,3750.0,20000.0,4.6739893,200.0,123.0,0.5474011,0.01,0.05,,,
508.0,50.0,7124.0,5622.0,30000.0,4.2111173,20.0,88.666664,3.7367468,0.01,0.05,,,
558.0,144.0,10050.0,7500.0,40000.0,3.9800994,200.0,116.5,0.15275997,0.01,0.05,,,
608.0,144.0,12879.0,9372.0,50000.0,3.882289,200.0,133.2,0.0367274,0.01,0.05,,,
666.0,124.0,15714.0,11250.0,60000.0,3.8182511,200.0,144.33333,0.070862874,0.01,0.05,,,
717.0,114.0,18606.0,13122.0,70000.0,3.7622273,200.0,152.28572,0.06310143,0.01,0.05,,,
774.0,29.0,21472.0,15000.0,80000.0,3.7257824,200.0,158.25,287.14288,0.01,0.05,,,
825.0,58.0,24369.0,16872.0,90000.0,3.6932168,200.0,162.88889,0.3545185,0.01,0.05,,,
879.0,7.0,27268.0,18750.0,100000.0,3.6673024,200.0,166.6,281.6309,0.01,0.05,,,
