epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.005,1.0,,,
352.0,36.0,1974.0,1872.0,10000.0,5.065856,23.0,23.0,12.54195,0.005,0.05,,,
549.0,37.0,5932.0,3750.0,20000.0,3.3715441,70.0,46.5,0.16949274,0.005,0.05,,,
651.0,19.0,9922.0,5622.0,30000.0,3.023584,29.0,40.666668,267.6401,0.005,0.05,,,
788.0,32.0,13899.0,7500.0,40000.0,2.877905,61.0,45.75,0.59807384,0.005,0.05,,,
886.0,25.0,17865.0,9372.0,50000.0,2.7987685,25.0,41.6,249.90059,0.005,0.05,,,
978.0,73.0,21778.0,11250.0,60000.0,2.755074,193.0,66.833336,0.09367802,0.005,0.05,,,
1088.0,185.0,25746.0,13122.0,70000.0,2.718869,200.0,85.85714,0.27471718,0.005,0.05,,,
1191.0,37.0,29657.0,15000.0,80000.0,2.697508,200.0,100.125,0.36402044,0.005,0.05,,,
1271.0,123.0,33597.0,16872.0,90000.0,2.6788106,200.0,111.22222,0.043553784,0.005,0.05,,,
1321.0,165.0,37475.0,18750.0,100000.0,2.6684456,200.0,120.1,0.15882169,0.005,0.05,,,
