epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0005,1.0,,,
728.0,5.0,2002.0,1872.0,10000.0,4.995005,11.0,11.0,2.1642935,0.0005,0.05,,,
1666.0,6.0,5979.0,3750.0,20000.0,3.345041,14.0,12.5,2.7779963,0.0005,0.05,,,
2414.0,10.0,9976.0,5622.0,30000.0,3.0072174,11.0,12.0,5.4537196,0.0005,0.05,,,
3047.0,10.0,13952.0,7500.0,40000.0,2.8669724,17.0,13.25,2.9583917,0.0005,0.05,,,
3586.0,10.0,17962.0,9372.0,50000.0,2.7836545,20.0,14.6,1.1813293,0.0005,0.05,,,
4076.0,11.0,21944.0,11250.0,60000.0,2.7342327,24.0,16.166666,0.16842839,0.0005,0.05,,,
4466.0,7.0,25894.0,13122.0,70000.0,2.7033288,43.0,20.0,0.08490437,0.0005,0.05,,,
4740.0,4.0,29801.0,15000.0,80000.0,2.6844738,45.0,23.125,0.3010096,0.0005,0.05,,,
4944.0,16.0,33594.0,16872.0,90000.0,2.6790497,81.0,29.555555,0.47246635,0.0005,0.05,,,
5119.0,17.0,37461.0,18750.0,100000.0,2.669443,21.0,28.7,120.156,0.0005,0.05,,,
