epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001,1.0,,,
645.0,4.0,1968.0,1872.0,10000.0,5.0813007,11.0,11.0,5.354988,0.001,0.05,,,
1499.0,83.0,5913.0,3750.0,20000.0,3.3823779,40.0,25.5,0.87994045,0.001,0.05,,,
2015.0,3.0,9938.0,5622.0,30000.0,3.018716,59.0,36.666668,0.7412451,0.001,0.05,,,
2299.0,55.0,13943.0,7500.0,40000.0,2.868823,28.0,34.5,0.7093649,0.001,0.05,,,
2589.0,16.0,17874.0,9372.0,50000.0,2.7973592,24.0,32.4,33.4827,0.001,0.05,,,
2845.0,45.0,21866.0,11250.0,60000.0,2.7439861,25.0,31.166666,1.05578,0.001,0.05,,,
3062.0,35.0,25777.0,13122.0,70000.0,2.715599,50.0,33.857143,16.501495,0.001,0.05,,,
3257.0,38.0,29695.0,15000.0,80000.0,2.6940563,23.0,32.5,0.4328912,0.001,0.05,,,
3410.0,18.0,33606.0,16872.0,90000.0,2.6780932,59.0,35.444443,79.69399,0.001,0.05,,,
3541.0,40.0,37466.0,18750.0,100000.0,2.6690867,67.0,38.6,0.67702,0.001,0.05,,,
