epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
253.0,136.0,1400.0,1872.0,10000.0,7.142857,44.0,44.0,0.37946752,0.01,0.05,,,
350.0,11.0,4268.0,3750.0,20000.0,4.6860356,200.0,122.0,296.25864,0.01,0.05,,,
458.0,56.0,7090.0,5622.0,30000.0,4.231312,200.0,148.0,0.62714124,0.01,0.05,,,
539.0,125.0,9959.0,7500.0,40000.0,4.0164676,200.0,161.0,0.44183037,0.01,0.05,,,
589.0,125.0,12824.0,9372.0,50000.0,3.8989394,200.0,168.8,0.29002902,0.01,0.05,,,
640.0,113.0,15731.0,11250.0,60000.0,3.814125,200.0,174.0,0.041666076,0.01,0.05,,,
703.0,119.0,18644.0,13122.0,70000.0,3.754559,200.0,177.71428,0.24617408,0.01,0.05,,,
753.0,119.0,21520.0,15000.0,80000.0,3.717472,200.0,180.5,0.032975778,0.01,0.05,,,
809.0,20.0,24426.0,16872.0,90000.0,3.6845984,200.0,182.66667,294.28854,0.01,0.05,,,
859.0,171.0,27258.0,18750.0,100000.0,3.6686478,200.0,184.4,0.19871973,0.01,0.05,,,
