epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001,1.0,,,
588.0,13.0,1979.0,1872.0,10000.0,5.053057,19.0,19.0,3.3996072,0.001,0.05,,,
973.0,7.0,5933.0,3750.0,20000.0,3.370976,15.0,17.0,17.741518,0.001,0.05,,,
1404.0,7.0,9924.0,5622.0,30000.0,3.0229745,57.0,30.333334,0.7174476,0.001,0.05,,,
1694.0,40.0,13881.0,7500.0,40000.0,2.8816369,21.0,28.0,0.7416061,0.001,0.05,,,
1980.0,17.0,17837.0,9372.0,50000.0,2.8031619,57.0,33.8,23.224905,0.001,0.05,,,
2220.0,3.0,21765.0,11250.0,60000.0,2.7567196,29.0,33.0,23.217062,0.001,0.05,,,
2426.0,24.0,25709.0,13122.0,70000.0,2.722782,105.0,43.285713,21.443092,0.001,0.05,,,
2595.0,36.0,29618.0,15000.0,80000.0,2.70106,41.0,43.0,0.44114485,0.001,0.05,,,
2742.0,18.0,33574.0,16872.0,90000.0,2.6806457,55.0,44.333332,27.836468,0.001,0.05,,,
2878.0,2.0,37434.0,18750.0,100000.0,2.6713684,55.0,45.4,31.7678,0.001,0.05,,,
