epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
256.0,16.0,1424.0,1872.0,10000.0,7.022472,47.0,47.0,6.709186,0.01,0.05,,,
381.0,70.0,4325.0,3750.0,20000.0,4.6242776,71.0,59.0,0.51495814,0.01,0.05,,,
482.0,47.0,7203.0,5622.0,30000.0,4.1649313,84.0,67.333336,2.1297472,0.01,0.05,,,
560.0,70.0,10116.0,7500.0,40000.0,3.954132,200.0,100.5,0.254836,0.01,0.05,,,
610.0,70.0,12989.0,9372.0,50000.0,3.849411,200.0,120.4,0.42684263,0.01,0.05,,,
663.0,177.0,15824.0,11250.0,60000.0,3.7917087,200.0,133.66667,0.083351046,0.01,0.05,,,
718.0,58.0,18738.0,13122.0,70000.0,3.7357242,200.0,143.14285,0.04514669,0.01,0.05,,,
773.0,131.0,21636.0,15000.0,80000.0,3.6975412,200.0,150.25,0.045506585,0.01,0.05,,,
832.0,54.0,24538.0,16872.0,90000.0,3.6677806,200.0,155.77777,0.050440475,0.01,0.05,,,
883.0,25.0,27358.0,18750.0,100000.0,3.655238,200.0,160.2,273.71436,0.01,0.05,,,
