epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.001,1.0,,,
580.0,6.0,1901.0,1872.0,10000.0,5.2603893,15.0,15.0,13.029217,0.001,0.05,,,
1203.0,11.0,5850.0,3750.0,20000.0,3.4188035,16.0,15.5,8.868158,0.001,0.05,,,
1553.0,46.0,9826.0,5622.0,30000.0,3.0531244,20.0,17.0,11.780788,0.001,0.05,,,
1841.0,19.0,13797.0,7500.0,40000.0,2.899181,24.0,18.75,13.342741,0.001,0.05,,,
2117.0,16.0,17768.0,9372.0,50000.0,2.8140478,58.0,26.6,13.588843,0.001,0.05,,,
2363.0,4.0,21726.0,11250.0,60000.0,2.761668,25.0,26.333334,44.97423,0.001,0.05,,,
2551.0,58.0,25662.0,13122.0,70000.0,2.7277687,51.0,29.857143,0.4397556,0.001,0.05,,,
2709.0,14.0,29598.0,15000.0,80000.0,2.7028854,28.0,29.625,22.752598,0.001,0.05,,,
2858.0,13.0,33516.0,16872.0,90000.0,2.6852846,69.0,34.0,1.6244203,0.001,0.05,,,
2975.0,10.0,37395.0,18750.0,100000.0,2.6741543,74.0,38.0,169.61412,0.001,0.05,,,
