epi,t,wall_t,opt_step,frame,fps,total_reward,total_reward_ma,loss,lr,explore_var,entropy_coef,entropy,grad_norm
0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,1.0,,,
388.0,8.0,168.0,12000.0,10000.0,59.52381,23.0,23.0,2.4606278,0.01,0.05,,,
752.0,10.0,493.0,24000.0,20000.0,40.56795,9.0,16.0,36.242558,0.01,0.05,,,
1394.0,6.0,794.0,36000.0,30000.0,37.783375,12.0,14.666667,24.269634,0.01,0.05,,,
1896.0,38.0,1112.0,48000.0,40000.0,35.971222,40.0,21.0,14.003961,0.01,0.05,,,
2397.0,13.0,1394.0,60000.0,50000.0,35.868004,24.0,21.6,17.755547,0.01,0.05,,,
2914.0,10.0,1705.0,72000.0,60000.0,35.190617,48.0,26.0,205.87907,0.01,0.05,,,
3432.0,15.0,1994.0,84000.0,70000.0,35.105316,18.0,24.857143,83.19777,0.01,0.05,,,
3866.0,1.0,2305.0,96000.0,80000.0,34.707157,11.0,23.125,4143660.8,0.01,0.05,,,
4222.0,61.0,2629.0,108000.0,90000.0,34.233547,15.0,22.222221,1346.7125,0.01,0.05,,,
4588.0,1.0,2895.0,120000.0,100000.0,34.542313,8.0,20.8,8877439.0,0.01,0.05,,,
